Customer_ID,Name,Age,SSN,Occupation,snapshot_date,age_band,has_valid_ssn
CUS_0x1011,Schneyerh,44.0,793-05-8223,Doctor,2023-11-01,35-44,1
CUS_0x1018,Felsenthalq,15.0,731-19-8119,Accountant,2023-11-01,18-24,1
CUS_0x1041,Jonathan Stempela,15.0,675-80-2033,Teacher,2023-11-01,18-24,1
CUS_0x105b,Patricia Zengerlel,24.0,#F%$D@*&8,Accountant,2023-11-01,18-24,0
CUS_0x107c,Karenh,15.0,712-17-7369,Journalist,2023-11-01,18-24,1
CUS_0x1107,Felsenthalv,31.0,118-70-6277,Writer,2023-11-01,25-34,1
CUS_0x117f,Kevinj,51.0,082-69-3410,Scientist,2023-11-01,45-54,1
CUS_0x11a4,Caroline Humerc,44.0,000-40-3312,Manager,2023-11-01,35-44,1
CUS_0x123d,James Reganl,31.0,736-67-4134,Architect,2023-11-01,25-34,1
CUS_0x1281,ernardop,18.0,728-18-4971,Writer,2023-11-01,18-24,1
CUS_0x12fa,Kathrinw,46.0,966-60-1936,Manager,2023-11-01,45-54,1
CUS_0x1358,Narayanan Somasundaramg,18.0,967-90-7262,Teacher,2023-11-01,18-24,1
CUS_0x1367,Caroline Valetkevitchi,45.0,434-08-1310,Engineer,2023-11-01,45-54,1
CUS_0x13b2,Horowitze,27.0,404-97-1261,Musician,2023-11-01,25-34,1
CUS_0x13bc,Rie Ishiguroi,23.0,934-82-6083,Engineer,2023-11-01,18-24,1
CUS_0x1416,Valentinaz,20.0,036-32-2011,Accountant,2023-11-01,18-24,1
CUS_0x14c1,Denny Thomasz,37.0,695-59-2005,Media_Manager,2023-11-01,35-44,1
CUS_0x14ea,Tom Polanseks,42.0,298-76-0431,Teacher,2023-11-01,35-44,1
CUS_0x159f,Millikenw,34.0,554-38-9690,Engineer,2023-11-01,25-34,1
CUS_0x1604,Sam Forgioneb,43.0,078-26-7485,Developer,2023-11-01,35-44,1
CUS_0x1807,Carstenc,55.0,967-06-5986,Manager,2023-11-01,55+,1
CUS_0x181c,Johnb,20.0,255-78-5791,Manager,2023-11-01,18-24,1
CUS_0x18ea,Jasond,28.0,411-59-6345,Musician,2023-11-01,25-34,1
CUS_0x18fa,Wachteln,55.0,177-06-9070,Journalist,2023-11-01,55+,1
CUS_0x19de,Sudipi,34.0,162-12-7993,Lawyer,2023-11-01,25-34,1
CUS_0x1ab7,Adrianu,34.0,528-43-8765,Lawyer,2023-11-01,25-34,1
CUS_0x1ab8,Chuckh,23.0,777-84-6423,Doctor,2023-11-01,18-24,1
CUS_0x1afd,Katya Golubkovay,35.0,662-00-3287,Teacher,2023-11-01,35-44,1
CUS_0x1c40,Giannonet,35.0,602-19-3236,Accountant,2023-11-01,35-44,1
CUS_0x1c65,Kubotay,24.0,238-12-2167,Media_Manager,2023-11-01,18-24,1
CUS_0x1c96,Ryan Vlastelicaw,53.0,725-99-5987,NA,2023-11-01,45-54,1
CUS_0x1d72,Jedx,18.0,034-71-6292,Mechanic,2023-11-01,18-24,1
CUS_0x1d8f,Katyay,27.0,977-87-4804,Teacher,2023-11-01,25-34,1
CUS_0x1ed8,McCoolf,20.0,819-43-0968,Media_Manager,2023-11-01,18-24,1
CUS_0x1f1a,Marcin Goettigj,39.0,189-83-4148,Media_Manager,2023-11-01,35-44,1
CUS_0x1f36,Ingramj,26.0,263-16-8350,Scientist,2023-11-01,25-34,1
CUS_0x1f9b,Tommy Wilkesb,23.0,#F%$D@*&8,Entrepreneur,2023-11-01,18-24,0
CUS_0x1fb0,Ingridt,46.0,746-29-2596,Engineer,2023-11-01,45-54,1
CUS_0x1fb5,Cruiseu,39.0,474-15-7091,Scientist,2023-11-01,35-44,1
CUS_0x1fef,Cruiseb,21.0,#F%$D@*&8,Journalist,2023-11-01,18-24,0
CUS_0x202e,Nanette Byrnesg,25.0,718-69-3114,Teacher,2023-11-01,25-34,1
CUS_0x205f,er Davids,19.0,914-68-1323,Architect,2023-11-01,18-24,1
CUS_0x20a6,Jason Langeb,42.0,011-41-0287,Media_Manager,2023-11-01,35-44,1
CUS_0x20ba,Chang-Ranm,41.0,595-90-1107,Manager,2023-11-01,35-44,1
CUS_0x2206,Sebastian Moffettw,,176-45-5890,Architect,2023-11-01,55+,1
CUS_0x229d,Chuckf,16.0,131-92-1105,Mechanic,2023-11-01,18-24,1
CUS_0x22be,arbara Lewish,47.0,552-02-3722,Accountant,2023-11-01,45-54,1
CUS_0x22bf,Herbert Lashh,25.0,682-14-2267,NA,2023-11-01,25-34,1
CUS_0x2599,ra Alperp,25.0,118-17-4711,Accountant,2023-11-01,25-34,1
CUS_0x264b,Dmitry Zhdannikovv,52.0,214-29-8583,Manager,2023-11-01,45-54,1
CUS_0x2708,ernien,28.0,287-44-5880,Scientist,2023-11-01,25-34,1
CUS_0x2748,Euan Rochac,36.0,497-31-1000,Accountant,2023-11-01,35-44,1
CUS_0x2800,ernieg,45.0,503-91-9302,Entrepreneur,2023-11-01,45-54,1
CUS_0x2883,Stanley Whitex,17.0,354-08-5738,Journalist,2023-11-01,18-24,1
CUS_0x2912,Paul Taylorq,26.0,517-78-6058,Doctor,2023-11-01,25-34,1
CUS_0x2999,Palmerz,38.0,945-07-8144,Mechanic,2023-11-01,35-44,1
CUS_0x2a05,"""""""""""""""Michael OBoyle""""""""g""""""",16.0,164-42-3473,Media_Manager,2023-11-01,18-24,1
CUS_0x2a09,Matt Scuffhamn,40.0,271-31-5302,Architect,2023-11-01,35-44,1
CUS_0x2a1b,ewich Noely,30.0,782-94-3133,Developer,2023-11-01,25-34,1
CUS_0x2a4e,Atossa Araxiaa,54.0,897-53-0248,Doctor,2023-11-01,45-54,1
CUS_0x2a52,Busvineg,47.0,039-02-7101,Developer,2023-11-01,45-54,1
CUS_0x2b15,Christopherf,37.0,307-21-8840,NA,2023-11-01,35-44,1
CUS_0x2b1a,Grafft,39.0,300-01-6032,Manager,2023-11-01,35-44,1
CUS_0x2c06,Lisa Baertleinq,29.0,395-47-1287,NA,2023-11-01,25-34,1
CUS_0x2c3e,Holly,33.0,803-62-3706,Lawyer,2023-11-01,25-34,1
CUS_0x2ca6,Alicey,46.0,477-91-2380,Lawyer,2023-11-01,45-54,1
CUS_0x2d17,Wangf,32.0,821-45-9270,Media_Manager,2023-11-01,25-34,1
CUS_0x2d25,Maria Sheahanb,16.0,877-32-5574,Entrepreneur,2023-11-01,18-24,1
CUS_0x2dbc,Langep,34.0,486-85-3974,Engineer,2023-11-01,25-34,1
CUS_0x2e28,Dawsony,34.0,792-16-3996,Doctor,2023-11-01,25-34,1
CUS_0x2e79,Cruisek,31.0,670-14-6375,Engineer,2023-11-01,25-34,1
CUS_0x2ef3,Anno,50.0,741-45-4523,Mechanic,2023-11-01,45-54,1
CUS_0x303b,Foo Yuns,52.0,482-28-5175,Journalist,2023-11-01,45-54,1
CUS_0x30c8,Karolina Tagarisj,23.0,073-19-8370,Media_Manager,2023-11-01,18-24,1
CUS_0x312c,Charlesd,15.0,650-51-5112,Architect,2023-11-01,18-24,1
CUS_0x3149,Cowani,27.0,271-04-2423,NA,2023-11-01,25-34,1
CUS_0x3188,Sullivanr,55.0,731-41-2167,NA,2023-11-01,55+,1
CUS_0x31e3,Kaustubh Kulkarnin,48.0,202-11-6489,NA,2023-11-01,45-54,1
CUS_0x3260,Swati Bhatd,40.0,750-67-7525,Accountant,2023-11-01,35-44,1
CUS_0x328e,Peter Griffithss,25.0,560-60-4464,Journalist,2023-11-01,25-34,1
CUS_0x32ed,Alexei Oreskovicl,55.0,110-76-4956,Mechanic,2023-11-01,55+,1
CUS_0x3336,Timothy Gardnerq,48.0,190-33-8702,Manager,2023-11-01,45-54,1
CUS_0x3352,Arginc,23.0,882-89-4787,Scientist,2023-11-01,18-24,1
CUS_0x33b4,Grant McCooln,,656-60-6101,Musician,2023-11-01,55+,1
CUS_0x3434,"""""""""""""""Eileen OGrady""""""""t""""""",17.0,#F%$D@*&8,Teacher,2023-11-01,18-24,0
CUS_0x348a,Emman,24.0,358-20-1467,Media_Manager,2023-11-01,18-24,1
CUS_0x352f,Whiteo,14.0,333-78-0103,Teacher,2023-11-01,18-24,1
CUS_0x3570,Takadaz,,224-76-2218,Mechanic,2023-11-01,55+,1
CUS_0x35a4,Jonathan Stempelh,39.0,200-57-9926,Engineer,2023-11-01,35-44,1
CUS_0x3608,Yaod,46.0,070-52-8558,Teacher,2023-11-01,45-54,1
CUS_0x3621,Martin Santaj,21.0,048-48-0205,Mechanic,2023-11-01,18-24,1
CUS_0x3636,Daniel Flynnz,32.0,477-19-4895,Scientist,2023-11-01,25-34,1
CUS_0x363d,Annb,22.0,387-97-9961,Architect,2023-11-01,18-24,1
CUS_0x3650,Ryan Vlastelicaz,37.0,581-79-3977,Journalist,2023-11-01,35-44,1
CUS_0x36c5,Mehraq,30.0,051-60-7823,Developer,2023-11-01,25-34,1
CUS_0x3708,Richardf,27.0,433-78-1443,Writer,2023-11-01,25-34,1
CUS_0x376b,Pallavii,25.0,915-69-8780,NA,2023-11-01,25-34,1
CUS_0x3799,Scuffhamf,55.0,821-63-1934,Journalist,2023-11-01,55+,1
CUS_0x37e1,Lisa Baertleino,40.0,242-28-3294,Accountant,2023-11-01,35-44,1
CUS_0x391a,Bullu,29.0,020-38-9385,Lawyer,2023-11-01,25-34,1
CUS_0x39ad,Raybouldd,31.0,149-63-5296,Mechanic,2023-11-01,25-34,1
CUS_0x3a41,Tim McLaughlink,42.0,745-44-6523,Musician,2023-11-01,35-44,1
CUS_0x3a93, Mattr,20.0,892-22-1956,Mechanic,2023-11-01,18-24,1
CUS_0x3ace,Shirbonf,30.0,409-44-5696,Engineer,2023-11-01,25-34,1
CUS_0x3ad0,Abhirup Roym,50.0,630-81-4444,Musician,2023-11-01,45-54,1
CUS_0x3bad,Prasadc,29.0,510-25-2095,Musician,2023-11-01,25-34,1
CUS_0x3bbe,Neilp,30.0,017-53-1609,Lawyer,2023-11-01,25-34,1
CUS_0x3c6a,Zieminskiv,45.0,791-08-6233,Mechanic,2023-11-01,45-54,1
CUS_0x3c90,A.u,19.0,337-71-0334,Doctor,2023-11-01,18-24,1
CUS_0x3c9b,Angela Moont,30.0,532-23-8409,Scientist,2023-11-01,25-34,1
CUS_0x3e6b,Adinarayanx,22.0,763-33-5170,NA,2023-11-01,18-24,1
CUS_0x3ee9,Mollenkampr,50.0,459-66-4683,Media_Manager,2023-11-01,45-54,1
CUS_0x3ef,Soyoung Kimu,48.0,964-81-2710,Manager,2023-11-01,45-54,1
CUS_0x3f12,", Europeanx",15.0,710-29-0360,Mechanic,2023-11-01,18-24,1
CUS_0x3f43,Leika Kiharaf,17.0,145-24-7049,Architect,2023-11-01,18-24,1
CUS_0x3fcf,Pedro dau,34.0,204-93-4852,Mechanic,2023-11-01,25-34,1
CUS_0x403a,Jenniferj,29.0,#F%$D@*&8,Media_Manager,2023-11-01,25-34,0
CUS_0x406c,Garciaw,33.0,744-01-6955,Scientist,2023-11-01,25-34,1
CUS_0x4075,Sarah McBrideo,32.0,208-19-2290,Engineer,2023-11-01,25-34,1
CUS_0x40d7,Murain,18.0,480-05-6444,Engineer,2023-11-01,18-24,1
CUS_0x411e,Tom Polansekg,48.0,487-02-9121,Doctor,2023-11-01,45-54,1
CUS_0x41e4,Leika Kiharad,46.0,803-07-6149,Teacher,2023-11-01,45-54,1
CUS_0x41e5,Georgiopouloso,45.0,127-49-4016,Lawyer,2023-11-01,45-54,1
CUS_0x42ac,Lawrencea,37.0,700-60-3660,Musician,2023-11-01,35-44,1
CUS_0x4329,Papadimasy,27.0,845-73-4848,Doctor,2023-11-01,25-34,1
CUS_0x442e,Johnu,36.0,549-81-5604,Media_Manager,2023-11-01,35-44,1
CUS_0x4488,Noahg,35.0,#F%$D@*&8,Scientist,2023-11-01,35-44,0
CUS_0x448c,Samuel Shena,16.0,028-69-9480,Mechanic,2023-11-01,18-24,1
CUS_0x44f,Nate Raymondr,35.0,690-43-7279,Journalist,2023-11-01,35-44,1
CUS_0x451e,Kim Dixone,36.0,773-49-8622,Engineer,2023-11-01,35-44,1
CUS_0x455e,Dowsettx,44.0,297-53-4131,Teacher,2023-11-01,35-44,1
CUS_0x4588,Erin Geigerg,25.0,392-39-3654,Entrepreneur,2023-11-01,25-34,1
CUS_0x45df,Katya Wachtelw,22.0,632-93-2072,Musician,2023-11-01,18-24,1
CUS_0x465c,Douwe Miedemay,24.0,312-92-8664,Media_Manager,2023-11-01,18-24,1
CUS_0x46dc,Ellenj,44.0,073-85-4368,Teacher,2023-11-01,35-44,1
CUS_0x4715,Martinneb,17.0,890-82-7544,NA,2023-11-01,18-24,1
CUS_0x4795,Steven,46.0,896-78-3151,Entrepreneur,2023-11-01,45-54,1
CUS_0x4798,Prodhane,36.0,265-88-4094,Accountant,2023-11-01,35-44,1
CUS_0x47bc,Jamie McGeeverb,52.0,176-01-8718,Lawyer,2023-11-01,45-54,1
CUS_0x4811,Time,32.0,373-42-2979,Entrepreneur,2023-11-01,25-34,1
CUS_0x4843,Christopherw,44.0,036-30-1880,Lawyer,2023-11-01,35-44,1
CUS_0x489,Suzanne Barlynd,22.0,#F%$D@*&8,Writer,2023-11-01,18-24,0
CUS_0x48a8,Tom Milesx,40.0,955-63-6307,Writer,2023-11-01,35-44,1
CUS_0x48c0,David Sheppardk,48.0,272-75-4382,Manager,2023-11-01,45-54,1
CUS_0x49bf,Ahmannz,31.0,067-13-9000,Musician,2023-11-01,25-34,1
CUS_0x4a7,Simon Gardnerl,,865-33-5347,Architect,2023-11-01,55+,1
CUS_0x4a7a,Anthonym,44.0,725-15-5087,Writer,2023-11-01,35-44,1
CUS_0x4a9b,Mattm,19.0,873-48-7202,Manager,2023-11-01,18-24,1
CUS_0x4af0,Nicolacih,18.0,397-45-5329,Developer,2023-11-01,18-24,1
CUS_0x4af1,Melissa Akinw,34.0,708-55-1426,NA,2023-11-01,25-34,1
CUS_0x4b89,Deepa Seetharamant,22.0,920-87-0240,Lawyer,2023-11-01,18-24,1
CUS_0x4bcf,Maloned,46.0,739-73-1176,Engineer,2023-11-01,45-54,1
CUS_0x4c5a,Vikram Subhedarr,41.0,589-58-1945,Media_Manager,2023-11-01,35-44,1
CUS_0x4c76,Miyoungv,35.0,584-57-7987,Scientist,2023-11-01,35-44,1
