Customer_ID,Name,Age,SSN,Occupation,snapshot_date,age_band,has_valid_ssn
CUS_0x1026,Josephv,52.0,500-62-9044,Manager,2023-10-01,45-54,1
CUS_0x109b,Gillesy,55.0,661-04-3699,Manager,2023-10-01,55+,1
CUS_0x10ff,Murait,36.0,149-03-5931,Accountant,2023-10-01,35-44,1
CUS_0x1100,Kaorif,22.0,545-19-6617,Accountant,2023-10-01,18-24,1
CUS_0x112f,Ju-minv,21.0,294-20-6562,Mechanic,2023-10-01,18-24,1
CUS_0x1134,Stt,49.0,#F%$D@*&8,Doctor,2023-10-01,45-54,0
CUS_0x1168,Philipm,42.0,773-33-0379,Writer,2023-10-01,35-44,1
CUS_0x12e7,Le,43.0,603-76-3049,Architect,2023-10-01,35-44,1
CUS_0x138e,Herbertu,52.0,388-88-9221,Lawyer,2023-10-01,45-54,1
CUS_0x147c,Soyoungb,32.0,504-71-5417,Teacher,2023-10-01,25-34,1
CUS_0x1498,Raymondk,40.0,335-78-1643,Manager,2023-10-01,35-44,1
CUS_0x14f5,Richard Leongd,41.0,497-15-6333,Doctor,2023-10-01,35-44,1
CUS_0x16a5,Cruisel,42.0,309-46-9938,NA,2023-10-01,35-44,1
CUS_0x16d3,Andrea Shalal-Esac,18.0,619-06-9383,Entrepreneur,2023-10-01,18-24,1
CUS_0x1748,Olga Dzyubenkop,35.0,958-25-6723,Mechanic,2023-10-01,35-44,1
CUS_0x1773,Laura Noonanh,40.0,682-53-7501,Architect,2023-10-01,35-44,1
CUS_0x188f,Johant,55.0,#F%$D@*&8,Writer,2023-10-01,55+,0
CUS_0x18af,Kirsten Donovans,41.0,327-55-6815,Accountant,2023-10-01,35-44,1
CUS_0x1912,Hetznerv,31.0,380-60-3352,Teacher,2023-10-01,25-34,1
CUS_0x191f,Ryanc,50.0,072-38-6457,Developer,2023-10-01,45-54,1
CUS_0x193e,Kevin Yaoy,21.0,842-61-0519,Lawyer,2023-10-01,18-24,1
CUS_0x1979,Cooperw,26.0,661-25-5123,Doctor,2023-10-01,25-34,1
CUS_0x19d4,Mollenkampj,32.0,999-95-7259,NA,2023-10-01,25-34,1
